"key","pest","date"
12474,"Cylindrocladium-Trieb- und Blattsterben",2024-03-22
12477,"Rhizoctonia-Krankheiten des Rasens",2024-03-22
10517,"Fettfleckenkrankheit",2024-03-22
10516,"Brennfleckenkrankheit der Bohne",2024-03-22
12476,"Rost der Gräser",2024-03-22
10519,"Eckige Blattfleckenkrankheit",2024-03-22
10518,"Rost der Bohne",2024-03-22
10521,"Falscher Mehltau der Kürbisgewächse",2024-03-22
14377,"Echter Mehltau der Erbse",2024-03-22
10523,"Alternaria-Möhrenschwärze",2024-03-22
10524,"Falscher Mehltau des Salats",2024-03-22
10530,"Marssonina-Blattfleckenkrankheit (Salate)",2024-03-22
10531,"Septoria-Blattfleckenkrankheit des Selleries",2024-03-22
10528,"Alternaria-Kohlschwärze",2024-03-22
10534,"Mehlkrankheit der Zwiebel",2024-03-22
10535,"Cercospora- und Ramularia-Blattfleckenkrankheiten",2024-03-22
10532,"Samtfleckenkrankheit der Tomate",2024-03-22
10533,"Botrytis spp.",2024-03-22
10538,"Septoria-Blattfleckenkrankheit der Tomate/Aubergine",2024-03-22
10539,"Blattschwärze der Spargel",2024-03-22
10536,"Echter Mehltau der Kürbisgewächse",2024-03-22
15445,"Australische Wollschildlaus ",2024-03-22
10537,"Weisser Rost der Schwarzwurzel",2024-03-22
10540,"Alternaria-Dürrfleckenkrankheit",2024-03-22
10546,"Flugbrand des Weizens",2024-03-22
10545,"Stinkbrand",2024-03-22
10544,"Zwergbrand",2024-03-22
10551,"Streifenkrankheit der Gerste",2024-03-22
10550,"Gedeckter Brand der Gerste",2024-03-22
10549,"Flugbrand der Gerste",2024-03-22
10555,"Rhizoctonia-solani-Krankheit",2024-03-22
12434,"Abbrennen von Stockausschlägen",2024-03-22
10554,"Rapserdfloh",2024-03-22
10559,"Wurzelbrand der Zuckerrübe",2024-03-22
10556,"Flugbrand des Hafers",2024-03-22
